,pk_1,pk_2,pk_3,pk_4,pk_5,data_1,data_2
334,236,1582,22,11002,100016208,63,8321.98
335,236,1583,22,11002,100016208,254,34270.42
336,236,1584,22,11002,100016208,144,19392.15
337,236,1559,22,11002,100016208,18,2301.03
338,233,1524,22,11002,100016208,82,87086.04
339,236,1011,22,12219,100016321,14,154.23
340,236,1012,22,12219,100016321,17,187.48
341,236,1015,22,12219,100016321,6,63.86
342,236,1016,22,12219,100016321,7,76.96
343,236,1026,22,12219,100016321,14,152.81
344,236,1028,22,12219,100016321,5,55.16
345,236,1039,22,12219,100016321,13,134.86
346,236,1040,22,12219,100016321,12,117.43
347,236,1043,22,12219,100016321,7,68.08
348,236,1044,22,12219,100016321,11,119.37
349,236,1058,22,12219,100016321,792,8768.29
350,236,1119,22,12219,100016321,-2,-20.56
351,236,1381,22,12219,100016321,8,88.73
352,236,1383,22,12219,100016321,4,38.25
353,236,1386,22,12219,100016321,14,154.79
354,236,1769,22,12219,100016321,228,2559.3
355,240,1036,22,12219,100016321,7,82.65
356,240,1045,22,12219,100016321,5,59.04
357,240,1068,22,12219,100016321,2,24.31
358,244,10071,22,12219,100016321,70,566.5
359,244,10081,22,12219,100016321,91,735.86
360,196,10299,22,12219,100016321,9,346.01
361,196,10300,22,12219,100016321,9,341.8
362,196,10319,22,12219,100016321,5,190.97
363,196,10322,22,12219,100016321,3,114.13
364,236,1582,22,12219,100016321,6,66.09
365,236,1583,22,12219,100016321,21,229.64
366,236,1559,22,12219,100016321,-6,-64.32
367,236,1011,22,11041,100016499,85,637.0
368,236,1012,22,11041,100016499,60,449.67
369,236,1015,22,11041,100016499,27,202.31
370,236,1016,22,11041,100016499,1,7.43
371,236,1026,22,11041,100016499,51,382.23
372,236,1028,22,11041,100016499,14,104.93
373,236,1039,22,11041,100016499,12,89.94
374,236,1040,22,11041,100016499,12,89.95
375,236,1043,22,11041,100016499,10,74.95
376,236,1044,22,11041,100016499,16,119.92
377,236,1058,22,11041,100016499,1549,11606.58
378,236,1119,22,11041,100016499,15,112.42
379,236,1120,22,11041,100016499,30,224.84
380,236,1121,22,11041,100016499,11,82.45
381,236,1381,22,11041,100016499,10,74.93
382,236,1383,22,11041,100016499,8,59.99
383,236,1385,22,11041,100016499,11,82.44
384,236,1386,22,11041,100016499,12,89.93
385,244,10071,22,11041,100016499,105,574.69
386,244,10081,22,11041,100016499,182,992.61
387,244,10082,22,11041,100016499,16,88.31
388,196,10298,22,11041,100016499,480,11774.27
389,196,10299,22,11041,100016499,58,1424.48
390,196,10300,22,11041,100016499,32,785.82
391,196,10301,22,11041,100016499,43,1060.26
392,196,10310,22,11041,100016499,6,148.12
393,196,10319,22,11041,100016499,33,811.11
394,196,10320,22,11041,100016499,7,172.23
395,196,10322,22,11041,100016499,44,1080.12
396,196,10350,22,11041,100016499,20,495.99
397,196,10308,22,11041,100016499,23,565.68
398,196,10334,22,11041,100016499,19,466.74
399,196,10335,22,11041,100016499,12,295.73
400,236,1582,22,11041,100016499,21,157.37
401,236,1583,22,11041,100016499,16,119.89
403,236,1026,22,11041,100016658,82,688.48
404,236,1028,22,11041,100016658,43,360.98
405,236,1058,22,11041,100016658,1657,13915.01
406,236,1119,22,11041,100016658,14,117.53
407,236,1120,22,11041,100016658,31,260.29
408,236,1121,22,11041,100016658,101,847.88
409,236,1122,22,11041,100016658,10,83.93
410,236,1384,22,11041,100016658,15,125.94
411,236,1385,22,11041,100016658,16,134.34
412,236,1386,22,11041,100016658,21,176.29
413,240,1036,22,11041,100016658,18,170.55
414,240,1045,22,11041,100016658,10,94.73
415,240,1068,22,11041,100016658,1,9.47
416,236,1583,22,11041,100016658,42,352.67
417,236,1584,22,11041,100016658,8,67.16
418,240,1077,22,11041,100016658,12,113.73
419,215,972,22,16139,100017468,1,1579.05
420,215,983,22,16139,100017468,3,4737.15
421,215,1002,22,16139,100017468,3,4737.15
422,215,1003,22,16139,100017468,3,4737.15
423,223,1639,22,16139,100017468,3,772189.0
424,233,1567,22,16139,100017468,17,262162.19
425,236,1011,22,16139,100017468,4,9787.72
426,236,1012,22,16139,100017468,3,7411.9
427,236,1015,22,16139,100017468,1,2378.78
428,236,1016,22,16139,100017468,2,4734.55
429,236,1026,22,16139,100017468,8,19664.78
430,236,1028,22,16139,100017468,8,19651.7
431,236,1039,22,16139,100017468,3,7452.03
432,236,1040,22,16139,100017468,4,9647.86
433,236,1058,22,16139,100017468,58,144072.48
434,236,1119,22,16139,100017468,2,4693.37
435,236,1121,22,16139,100017468,4,9801.26
436,236,1122,22,16139,100017468,2,4968.01
437,236,1381,22,16139,100017468,3,7052.35
438,236,1383,22,16139,100017468,8,18923.4
439,236,1384,22,16139,100017468,5,11891.37
440,236,1385,22,16139,100017468,2,4758.86
441,236,1386,22,16139,100017468,18,44110.3
442,238,993,22,16139,100017468,3,6582.0
443,240,1036,22,16139,100017468,8,20685.88
444,244,10071,22,16139,100017468,6,10410.75
445,244,10081,22,16139,100017468,3,5180.36
446,223,1421,22,16139,100017468,2,495043.0
447,235,1026,22,16139,100017468,48,706468.41
448,196,10299,22,16139,100017468,1,6899.25
449,196,10322,22,16139,100017468,2,13798.49
450,233,1472,22,16139,100017468,2,30986.35
451,175,1069,22,16139,100017468,11,20123.51
452,236,1582,22,16139,100017468,3,7118.14
453,236,1583,22,16139,100017468,5,12335.8
454,233,1524,22,16139,100017468,6,94969.08
455,215,983,22,11007,100017484,102,8093.67
456,215,1002,22,11007,100017484,12,949.99
457,215,1003,22,11007,100017484,80,6240.96
458,223,1578,22,11007,100017484,10,81977.0
459,223,1639,22,11007,100017484,102,839358.0
460,244,10071,22,11007,100017484,372,27561.84
461,244,10081,22,11007,100017484,170,12191.03
462,244,10082,22,11007,100017484,40,2855.4
463,223,1421,22,11007,100017484,8,65832.0
464,236,1011,22,15685,100073341,13,483.63
465,236,1012,22,15685,100073341,9,329.53
466,236,1015,22,15685,100073341,3,112.69
467,236,1016,22,15685,100073341,13,484.44
468,236,1026,22,15685,100073341,15,560.17
469,236,1028,22,15685,100073341,10,375.83
470,236,1058,22,15685,100073341,72,2680.53
471,236,1381,22,15685,100073341,5,187.72
472,236,1383,22,15685,100073341,12,442.22
473,236,1386,22,15685,100073341,12,450.9
474,196,10298,22,15685,100073341,36,5180.63
475,196,10299,22,15685,100073341,13,1869.78
476,196,10300,22,15685,100073341,16,2301.11
477,196,10319,22,15685,100073341,5,717.79
478,196,10322,22,15685,100073341,19,2732.29
479,196,10334,22,15685,100073341,8,1150.33
480,236,1582,22,15685,100073341,4,138.42
481,236,1583,22,15685,100073341,9,337.98
482,236,1011,22,12284,100073546,12,103.24
483,236,1012,22,12284,100073546,5,42.87
484,236,1015,22,12284,100073546,18,155.2
485,236,1016,22,12284,100073546,15,129.42
486,236,1026,22,12284,100073546,9,77.43
487,236,1028,22,12284,100073546,39,337.37
488,236,1039,22,12284,100073546,12,104.06
489,236,1040,22,12284,100073546,12,104.1
490,236,1043,22,12284,100073546,6,51.81
491,236,1058,22,12284,100073546,780,6686.15
492,236,1381,22,12284,100073546,7,61.07
493,236,1383,22,12284,100073546,13,113.43
494,236,1386,22,12284,100073546,47,406.15
495,244,10071,22,12284,100073546,70,449.75
496,244,10081,22,12284,100073546,42,265.79
497,196,10298,22,12284,100073546,12,266.24
498,196,10299,22,12284,100073546,9,199.67
499,196,10300,22,12284,100073546,8,177.48
500,196,10319,22,12284,100073546,9,199.66
501,196,10322,22,12284,100073546,12,266.22
502,236,1582,22,12284,100073546,15,130.83
503,236,1011,23,12212,100073554,19,111.06
504,236,1012,23,12212,100073554,25,146.15
505,236,1015,23,12212,100073554,10,58.46
506,236,1016,23,12212,100073554,11,64.29
507,236,1026,23,12212,100073554,14,81.85
508,236,1028,23,12212,100073554,33,193.14
509,236,1039,23,12212,100073554,8,46.76
510,236,1040,23,12212,100073554,10,58.49
511,236,1043,23,12212,100073554,8,46.72
